Device: cuda
GPU: NVIDIA A100-SXM4-40GB, VRAM: 42.4 GB
N=4096, n_scr=18, delta1=2631.4μm, delta_n=150.0μm
r₀=3.0cm, D/r₀=5.02
VRAM per realization: ~3.2 GB
Target: 10000 realizations (8000/1000/1000 split)

Vacuum propagation...
Vacuum 1/e² radius: 1000px = 150.0mm

Generating 10000 realizations...
  [3150/10000] generated=3150, skipped=0 | 0.5 real/s | ETA 14620s | VRAM 3.5GB
  [3200/10000] generated=3200, skipped=0 | 0.5 real/s | ETA 14514s | VRAM 3.5GB
  [3250/10000] generated=3250, skipped=0 | 0.5 real/s | ETA 14409s | VRAM 3.5GB
  [3300/10000] generated=3300, skipped=0 | 0.5 real/s | ETA 14303s | VRAM 3.5GB
  [3350/10000] generated=3350, skipped=0 | 0.5 real/s | ETA 14196s | VRAM 3.5GB
  [3400/10000] generated=3400, skipped=0 | 0.5 real/s | ETA 14089s | VRAM 3.5GB
  [3450/10000] generated=3450, skipped=0 | 0.5 real/s | ETA 13982s | VRAM 3.5GB
  [3500/10000] generated=3500, skipped=0 | 0.5 real/s | ETA 13875s | VRAM 3.5GB
  [3550/10000] generated=3550, skipped=0 | 0.5 real/s | ETA 13769s | VRAM 3.5GB
  [3600/10000] generated=3600, skipped=0 | 0.5 real/s | ETA 13662s | VRAM 3.5GB
  [3650/10000] generated=3650, skipped=0 | 0.5 real/s | ETA 13555s | VRAM 3.5GB
  [3700/10000] generated=3700, skipped=0 | 0.5 real/s | ETA 13447s | VRAM 3.5GB
  [3750/10000] generated=3750, skipped=0 | 0.5 real/s | ETA 13339s | VRAM 3.5GB
  [3800/10000] generated=3800, skipped=0 | 0.5 real/s | ETA 13233s | VRAM 3.5GB
  [3850/10000] generated=3850, skipped=0 | 0.5 real/s | ETA 13126s | VRAM 3.5GB
  [3900/10000] generated=3900, skipped=0 | 0.5 real/s | ETA 13018s | VRAM 3.5GB
  [3950/10000] generated=3950, skipped=0 | 0.5 real/s | ETA 12911s | VRAM 3.5GB
  [4000/10000] generated=4000, skipped=0 | 0.5 real/s | ETA 12804s | VRAM 3.5GB
  [4050/10000] generated=4050, skipped=0 | 0.5 real/s | ETA 12696s | VRAM 3.5GB
  [4100/10000] generated=4100, skipped=0 | 0.5 real/s | ETA 12589s | VRAM 3.5GB
  [4150/10000] generated=4150, skipped=0 | 0.5 real/s | ETA 12481s | VRAM 3.5GB
  [4200/10000] generated=4200, skipped=0 | 0.5 real/s | ETA 12375s | VRAM 3.5GB
  [4250/10000] generated=4250, skipped=0 | 0.5 real/s | ETA 12268s | VRAM 3.5GB
  [4300/10000] generated=4300, skipped=0 | 0.5 real/s | ETA 12161s | VRAM 3.5GB
  [4350/10000] generated=4350, skipped=0 | 0.5 real/s | ETA 12054s | VRAM 3.5GB
  [4400/10000] generated=4400, skipped=0 | 0.5 real/s | ETA 11947s | VRAM 3.5GB
  [4450/10000] generated=4450, skipped=0 | 0.5 real/s | ETA 11839s | VRAM 3.5GB
  [4500/10000] generated=4500, skipped=0 | 0.5 real/s | ETA 11732s | VRAM 3.5GB
  [4550/10000] generated=4550, skipped=0 | 0.5 real/s | ETA 11624s | VRAM 3.5GB
  [4600/10000] generated=4600, skipped=0 | 0.5 real/s | ETA 11517s | VRAM 3.5GB
  [4650/10000] generated=4650, skipped=0 | 0.5 real/s | ETA 11410s | VRAM 3.5GB
  [4700/10000] generated=4700, skipped=0 | 0.5 real/s | ETA 11303s | VRAM 3.5GB
  [4750/10000] generated=4750, skipped=0 | 0.5 real/s | ETA 11196s | VRAM 3.5GB
  [4800/10000] generated=4800, skipped=0 | 0.5 real/s | ETA 11089s | VRAM 3.5GB
  [4850/10000] generated=4850, skipped=0 | 0.5 real/s | ETA 10981s | VRAM 3.5GB
  [4900/10000] generated=4900, skipped=0 | 0.5 real/s | ETA 10874s | VRAM 3.5GB
  [4950/10000] generated=4950, skipped=0 | 0.5 real/s | ETA 10767s | VRAM 3.5GB
  [5000/10000] generated=5000, skipped=0 | 0.5 real/s | ETA 10660s | VRAM 3.5GB
Stopped at 5000 files (Sun Mar 29 10:10:42 PM UTC 2026)
